Gender,Customer_Type,Age,Type_Of_Travel,Class,Fligh_ Distance,Inflight_wifi_service,Departure_Arriva_ time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Checkin_service,Cleanliness,Avg_rating,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
Male,Loyal Customer,55,Personal Travel,Eco,1919,3,5,3,4,3,3,4,3,5,2,4,5,3,3.62,0,0,FALSE
Male,Loyal Customer,58,Personal Travel,Eco,1346,3,4,3,4,5,3,5,5,1,4,4,1,5,3.62,16,17,FALSE
Male,Loyal Customer,52,Business Travel,Business,410,1,3,3,3,1,4,4,1,1,1,1,2,1,2,0,25,FALSE
Male,Loyal Customer,29,Business Travel,Business,3604,1,1,2,1,2,2,2,2,5,5,5,5,2,2.69,0,0,TRUE
Male,Loyal Customer,76,Business Travel,Business,3381,4,2,4,4,4,4,1,4,4,4,4,4,3,3.54,0,0,TRUE
Male,Disloyal Customer,23,Business Travel,Eco,849,5,5,5,1,5,5,5,5,3,2,5,5,5,4.31,0,0,TRUE
Female,Loyal Customer,45,Personal Travel,Eco,964,1,5,1,3,2,5,5,4,4,1,1,5,5,3.23,0,0,FALSE
Female,Loyal Customer,42,Business Travel,Business,1979,3,5,5,5,3,3,2,3,3,3,3,1,3,3.23,9,13,FALSE
Male,Disloyal Customer,22,Business Travel,Eco,1407,4,5,5,1,5,4,2,5,4,3,5,5,5,4.08,0,0,TRUE
Female,Loyal Customer,46,Business Travel,Business,259,5,5,5,5,5,5,4,4,4,4,4,5,5,4.62,0,0,TRUE
Female,Loyal Customer,61,Personal Travel,Eco,237,2,3,2,1,2,5,5,1,1,2,1,2,5,2.46,6,22,FALSE
Male,Loyal Customer,10,Personal Travel,Eco,563,1,3,1,2,5,1,5,5,4,4,2,5,5,3.31,0,0,FALSE
Female,Disloyal Customer,20,Business Travel,Business,277,0,2,0,3,2,0,3,2,4,2,4,3,2,2.08,0,10,TRUE
Male,Loyal Customer,50,Business Travel,Eco,191,5,5,5,5,5,5,5,5,2,4,5,5,5,4.69,0,0,TRUE
Female,Disloyal Customer,39,Business Travel,Business,1874,3,3,3,1,1,3,1,1,3,3,3,1,1,2.08,46,39,FALSE
Male,Loyal Customer,20,Personal Travel,Eco,308,2,5,2,3,2,2,1,2,3,4,5,3,2,2.77,0,0,FALSE
Female,Loyal Customer,51,Business Travel,Business,3591,4,4,4,4,3,1,4,4,4,4,4,1,4,3.46,0,0,TRUE
Male,Loyal Customer,58,Business Travel,Business,2515,1,1,1,1,4,5,5,5,5,5,5,3,5,3.54,0,2,TRUE
Male,Loyal Customer,40,Business Travel,Eco,626,2,1,1,1,2,2,2,2,1,4,3,1,2,1.85,0,0,FALSE
Female,Loyal Customer,35,Business Travel,Eco,483,5,1,1,1,5,5,5,5,3,3,4,4,5,3.62,0,0,TRUE
Male,Loyal Customer,7,Personal Travel,Eco,920,3,4,3,1,1,3,1,1,4,4,5,4,1,2.69,0,5,FALSE
Female,Loyal Customer,57,Personal Travel,Eco,447,2,5,2,4,2,4,4,4,3,4,5,4,4,3.62,128,142,FALSE
Male,Loyal Customer,63,Personal Travel,Eco,1024,4,4,4,4,3,4,3,3,4,2,5,3,3,3.54,0,0,TRUE
Male,Loyal Customer,41,Business Travel,Business,3017,3,3,3,3,3,5,5,4,4,4,4,5,4,3.85,1,0,TRUE
Female,Loyal Customer,40,Business Travel,Business,3696,0,0,0,3,4,5,4,4,4,4,4,5,4,3.15,33,27,TRUE
Male,Loyal Customer,43,Business Travel,Eco,402,4,5,5,5,4,4,4,4,5,4,2,1,4,3.92,5,15,TRUE
Female,Loyal Customer,60,Personal Travel,Eco,1090,1,4,1,3,5,4,3,1,1,1,4,3,3,2.62,4,0,FALSE
Female,Loyal Customer,22,Personal Travel,Eco,936,3,5,3,2,4,3,4,4,2,2,2,4,4,3.23,0,0,FALSE
Male,Loyal Customer,39,Business Travel,Eco,930,3,4,4,4,3,2,3,3,4,5,3,3,3,3.38,0,0,FALSE
Male,Disloyal Customer,24,Business Travel,Business,795,5,0,5,3,1,5,1,1,3,2,4,5,1,2.77,0,0,TRUE
Female,Disloyal Customer,18,Business Travel,Eco,588,2,4,3,4,4,3,4,4,3,1,4,2,4,3.23,16,10,FALSE
Male,Loyal Customer,63,Personal Travel,Eco,694,4,4,4,2,4,4,4,4,4,5,5,5,4,4.08,0,0,TRUE
Male,Loyal Customer,45,Business Travel,Business,2215,3,3,2,3,4,4,4,5,5,5,5,4,3,3.85,62,47,TRUE
Male,Loyal Customer,34,Business Travel,Business,837,3,3,3,3,2,4,3,5,5,5,5,3,4,3.69,0,2,TRUE
Female,Loyal Customer,45,Business Travel,Business,1918,4,4,4,4,4,4,4,5,5,5,5,3,5,4.31,5,23,TRUE
Male,Loyal Customer,53,Personal Travel,Eco,646,3,5,3,3,4,3,1,4,2,2,1,4,4,3,42,22,FALSE
Female,Loyal Customer,43,Business Travel,Business,3568,3,3,2,3,2,4,4,5,5,5,5,5,5,3.92,11,11,TRUE
Female,Loyal Customer,40,Business Travel,Business,522,1,5,5,5,5,4,4,1,1,1,1,1,4,2.92,21,13,FALSE
Female,Loyal Customer,45,Business Travel,Business,373,5,3,5,5,3,5,4,5,5,5,5,4,3,4.38,3,0,TRUE
Male,Loyal Customer,54,Business Travel,Business,2479,5,5,5,5,4,5,4,4,4,4,4,3,5,4.38,0,0,TRUE
Male,Loyal Customer,53,Business Travel,Business,1693,2,2,2,2,4,5,5,5,5,5,5,5,5,4,0,4,TRUE
Female,Loyal Customer,24,Business Travel,Business,226,2,2,2,2,4,4,4,4,5,5,3,5,4,3.54,0,0,TRUE
Female,Loyal Customer,40,Business Travel,Business,1809,5,5,5,5,5,5,4,4,4,4,4,5,3,4.46,0,0,TRUE
Male,Loyal Customer,50,Personal Travel,Eco,853,3,1,3,3,1,3,5,1,3,1,4,1,1,2.31,38,17,FALSE
Male,Loyal Customer,35,Business Travel,Business,641,5,5,5,5,3,5,4,5,5,5,5,4,4,4.62,1,0,TRUE
Female,Loyal Customer,49,Business Travel,Business,912,1,1,4,1,5,4,5,4,4,5,4,3,3,3.38,0,0,TRUE
Male,Loyal Customer,55,Business Travel,Business,1611,3,3,3,3,5,5,5,5,5,5,5,5,4,4.31,0,0,TRUE
Male,Loyal Customer,52,Business Travel,Business,936,2,2,2,2,2,4,4,4,4,4,4,5,5,3.38,0,0,TRUE
Male,Loyal Customer,39,Business Travel,Eco Plus,554,4,2,5,2,4,4,4,4,5,2,1,5,4,3.54,0,0,TRUE
Male,Loyal Customer,35,Business Travel,Business,585,5,5,5,5,5,4,5,4,4,4,4,5,3,4.46,0,0,TRUE
Male,Loyal Customer,29,Business Travel,Business,1379,2,1,1,1,2,2,2,2,3,1,3,4,2,2,0,0,FALSE
Male,Loyal Customer,33,Personal Travel,Eco,1541,2,2,2,4,3,2,3,3,2,1,3,2,3,2.46,0,7,FALSE
Male,Loyal Customer,55,Personal Travel,Eco Plus,147,1,4,1,3,2,1,2,2,3,3,4,3,2,2.38,0,0,FALSE
Male,Loyal Customer,42,Personal Travel,Eco,628,2,5,3,3,2,3,2,2,5,3,5,3,2,3.08,1,0,FALSE
Male,Disloyal Customer,29,Business Travel,Eco,1134,3,3,3,3,3,3,2,3,5,5,3,2,3,3.15,0,0,FALSE
Female,Loyal Customer,33,Business Travel,Business,261,3,1,2,1,5,4,4,3,3,2,3,2,2,2.69,0,0,FALSE
Male,Loyal Customer,57,Personal Travel,Eco,937,5,3,5,3,4,3,1,4,4,4,3,2,4,3.46,0,0,TRUE
Male,Loyal Customer,43,Business Travel,Business,3384,3,1,1,1,3,3,4,3,3,3,3,4,4,2.77,34,37,FALSE
Male,Disloyal Customer,39,Business Travel,Business,280,4,4,4,3,1,4,1,1,2,4,3,2,1,2.62,0,8,FALSE
Female,Disloyal Customer,27,Business Travel,Eco,522,2,3,2,2,2,2,2,2,4,1,2,2,2,2.15,0,0,FALSE
Female,Loyal Customer,63,Personal Travel,Eco,430,3,4,3,4,5,1,3,5,5,3,5,1,1,3.31,0,0,FALSE
Female,Loyal Customer,43,Personal Travel,Eco,651,1,1,0,4,5,4,3,4,4,0,5,3,4,2.92,0,1,FALSE
Female,Loyal Customer,42,Personal Travel,Eco Plus,455,1,4,1,2,3,1,5,5,5,1,5,5,5,3.31,13,7,FALSE
Male,Loyal Customer,30,Business Travel,Business,926,3,5,5,5,3,3,3,1,3,4,3,3,3,3.38,131,115,FALSE
Female,Disloyal Customer,35,Business Travel,Business,899,2,3,3,5,5,3,5,5,4,4,5,5,5,4.15,2,8,FALSE
Male,Loyal Customer,10,Personal Travel,Eco,983,3,1,3,3,5,3,5,5,3,5,3,2,5,3.54,2,7,FALSE
Female,Loyal Customer,27,Business Travel,Business,2115,3,3,3,3,4,4,4,4,5,3,5,3,4,3.69,0,0,TRUE
Female,Loyal Customer,44,Business Travel,Eco,552,4,4,4,4,5,3,1,4,4,4,4,4,2,3.62,42,36,TRUE
Female,Loyal Customer,27,Personal Travel,Business,409,3,3,3,3,5,3,5,5,5,3,5,1,5,3.77,0,0,FALSE
Female,Loyal Customer,50,Business Travel,Business,297,5,5,5,5,5,5,5,3,3,4,3,4,3,4.23,81,94,TRUE
Female,Loyal Customer,14,Business Travel,Eco Plus,481,1,4,4,4,1,1,2,1,3,1,3,3,1,2.23,0,0,FALSE
Male,Loyal Customer,39,Personal Travel,Eco Plus,719,2,5,2,2,2,2,2,2,4,5,4,3,2,2.85,51,79,FALSE
Female,Loyal Customer,53,Business Travel,Business,370,1,1,1,1,4,1,1,5,5,5,5,5,4,3,11,20,TRUE
Male,Loyal Customer,24,Personal Travel,Eco,920,3,4,3,4,3,3,3,3,5,4,5,3,3,3.54,0,4,FALSE
Male,Disloyal Customer,19,Business Travel,Eco,991,2,2,2,3,2,2,2,2,4,3,3,4,2,2.54,0,25,FALSE
Male,Loyal Customer,55,Personal Travel,Eco,338,3,4,3,3,2,3,2,2,4,5,5,4,2,3.23,0,0,FALSE
Female,Loyal Customer,43,Business Travel,Business,895,4,4,4,4,4,5,4,5,5,5,5,4,5,4.46,16,13,TRUE
Female,Loyal Customer,44,Personal Travel,Eco,404,1,4,1,3,3,4,4,2,2,1,2,4,3,2.62,17,12,FALSE
Female,Loyal Customer,47,Personal Travel,Eco,315,3,5,3,4,2,5,4,1,1,3,1,2,1,2.69,16,8,FALSE
Female,Disloyal Customer,54,Business Travel,Eco,293,3,4,3,1,5,3,5,5,1,1,4,5,5,3.46,0,0,FALSE
Female,Loyal Customer,20,Business Travel,Eco Plus,937,0,3,1,3,4,1,5,4,1,1,1,4,4,2.46,34,20,TRUE
Female,Disloyal Customer,17,Business Travel,Business,1059,5,0,5,2,3,5,3,3,3,2,5,4,3,3.31,0,0,TRUE
Female,Loyal Customer,32,Business Travel,Business,1235,1,1,1,1,5,5,5,5,4,1,1,1,5,2.77,28,22,TRUE
Female,Loyal Customer,38,Business Travel,Business,3762,4,4,4,4,5,4,4,5,5,5,5,4,4,4.38,0,0,TRUE
Male,Loyal Customer,37,Personal Travel,Eco Plus,262,2,3,2,5,5,2,5,5,2,5,5,3,5,3.77,0,0,FALSE
Female,Loyal Customer,39,Business Travel,Business,3558,2,3,3,3,2,2,2,2,2,2,2,2,2,2.23,0,0,FALSE
Male,Loyal Customer,43,Business Travel,Business,2149,4,4,4,4,1,4,3,4,4,4,4,3,2,3.46,0,0,TRUE
Male,Disloyal Customer,38,Business Travel,Eco,489,3,0,3,5,3,3,3,3,2,2,4,2,3,2.77,0,0,FALSE
Male,Loyal Customer,40,Business Travel,Business,1235,3,4,3,3,4,4,4,5,3,4,5,4,4,3.85,149,146,TRUE
Female,Loyal Customer,22,Personal Travel,Eco Plus,197,3,4,0,3,1,0,1,1,3,3,4,4,1,2.15,4,35,FALSE
Female,Disloyal Customer,34,Business Travel,Eco,405,3,2,3,4,1,3,1,1,2,5,3,3,1,2.46,10,2,FALSE
Female,Loyal Customer,50,Business Travel,Business,2249,3,3,5,3,3,4,4,5,5,5,5,5,3,4.08,21,15,TRUE
Female,Disloyal Customer,25,Business Travel,Eco,554,4,0,4,3,2,4,4,2,2,4,1,4,2,2.77,8,7,TRUE
Male,Loyal Customer,16,Personal Travel,Eco Plus,985,2,5,2,5,1,2,4,1,5,5,5,5,1,3.31,2,0,FALSE
Female,Disloyal Customer,45,Business Travel,Business,602,4,3,3,4,1,4,1,1,4,4,4,4,1,2.92,11,0,TRUE
Male,Loyal Customer,45,Business Travel,Business,1083,4,5,4,4,5,4,4,4,4,3,4,1,2,3.69,25,8,FALSE
Male,Loyal Customer,58,Business Travel,Business,3739,5,5,5,5,2,5,4,5,5,5,5,3,5,4.54,17,38,TRUE
Male,Loyal Customer,33,Personal Travel,Eco,421,3,4,3,2,1,3,1,1,4,5,3,4,1,2.69,0,0,FALSE
Male,Loyal Customer,45,Personal Travel,Eco,759,4,5,4,4,3,4,3,3,5,1,2,3,3,3.38,0,0,FALSE
Male,Loyal Customer,38,Business Travel,Business,3668,0,0,0,3,4,5,2,4,4,4,4,4,1,2.69,0,0,TRUE
Female,Loyal Customer,62,Personal Travel,Eco,1931,4,5,4,3,5,5,5,1,1,4,1,5,5,3.69,0,0,FALSE
Male,Loyal Customer,61,Personal Travel,Eco,925,3,4,3,4,5,3,4,5,5,3,4,5,5,4.08,0,11,FALSE
Female,Loyal Customer,48,Business Travel,Business,3812,0,0,0,2,2,5,5,2,2,2,2,3,4,2.23,0,0,TRUE
Male,Loyal Customer,16,Personal Travel,Eco,204,5,4,5,1,2,5,2,2,3,2,5,1,2,3,0,0,TRUE
Male,Loyal Customer,31,Business Travel,Business,3932,5,5,5,5,4,4,4,4,5,4,5,3,4,4.38,0,19,TRUE
Female,Loyal Customer,32,Business Travel,Business,1725,5,5,5,5,2,2,2,2,5,4,4,5,2,3.69,65,51,TRUE
Female,Loyal Customer,48,Business Travel,Eco,101,4,2,2,2,2,3,4,4,4,4,4,3,4,3.23,5,7,TRUE
Male,Loyal Customer,59,Business Travel,Eco,237,5,1,1,1,5,5,5,5,4,3,5,2,5,3.62,0,0,TRUE
Female,Loyal Customer,59,Business Travel,Business,2260,2,2,2,2,3,5,5,4,4,4,5,3,5,3.54,0,0,TRUE
Male,Disloyal Customer,38,Business Travel,Eco,78,2,5,2,4,2,2,4,2,4,5,1,5,2,3.08,0,0,FALSE
Male,Loyal Customer,49,Business Travel,Business,295,0,0,0,4,3,4,4,1,1,1,1,4,4,2.08,0,0,TRUE
Female,Disloyal Customer,37,Business Travel,Eco,611,1,3,1,3,2,1,2,2,3,1,3,2,2,2,10,30,FALSE
Female,Loyal Customer,23,Business Travel,Eco Plus,574,5,3,3,3,5,5,4,5,1,2,2,3,5,3.54,0,0,TRUE
Female,Loyal Customer,44,Business Travel,Business,948,5,5,5,5,5,5,5,4,4,4,4,4,3,4.46,0,0,TRUE
Male,Loyal Customer,27,Business Travel,Business,1426,2,2,3,2,5,4,5,5,5,3,4,5,5,3.85,0,0,TRUE
Male,Loyal Customer,55,Personal Travel,Eco,2338,3,3,3,3,5,3,5,5,2,5,4,1,5,3.62,0,0,FALSE
Female,Loyal Customer,70,Personal Travel,Eco,1438,0,4,0,3,3,5,4,1,1,0,1,4,5,2.38,11,0,TRUE
Female,Disloyal Customer,27,Business Travel,Eco,714,3,3,3,3,3,3,3,3,4,4,3,2,3,3.08,10,0,FALSE
Female,Loyal Customer,28,Business Travel,Eco Plus,438,0,0,0,1,2,0,2,2,5,2,1,3,2,1.54,5,17,TRUE
Female,Loyal Customer,47,Personal Travel,Eco Plus,590,4,2,4,4,3,4,4,3,3,4,3,3,2,3.31,0,12,TRUE
Female,Loyal Customer,68,Personal Travel,Eco,533,1,5,1,3,2,4,5,2,2,1,2,3,3,2.62,13,10,FALSE
Female,Loyal Customer,41,Business Travel,Business,2137,4,4,4,4,3,4,5,4,4,4,4,5,4,4.08,0,0,TRUE
Male,Loyal Customer,10,Personal Travel,Eco,1084,2,5,1,3,5,1,2,5,4,4,5,4,5,3.54,3,0,FALSE
Female,Loyal Customer,49,Business Travel,Business,1619,3,4,4,4,2,2,1,3,3,3,3,1,3,2.77,0,0,FALSE
Male,Loyal Customer,44,Personal Travel,Eco Plus,163,2,5,0,4,4,0,4,4,4,2,5,5,4,3.31,0,0,FALSE
Male,Loyal Customer,45,Business Travel,Business,3111,2,2,2,2,2,5,5,4,4,4,4,3,5,3.38,0,0,TRUE
Female,Loyal Customer,48,Business Travel,Business,1608,1,1,1,1,3,5,5,5,5,5,5,5,5,3.62,0,0,TRUE
Male,Disloyal Customer,22,Business Travel,Eco,1497,5,5,5,2,1,5,1,1,5,3,4,1,1,3,0,0,TRUE
Male,Loyal Customer,55,Business Travel,Business,964,3,3,3,3,2,5,5,4,4,4,4,3,4,3.62,0,6,TRUE
Female,Loyal Customer,53,Personal Travel,Eco,337,3,5,3,1,2,3,1,4,4,3,4,3,4,3.08,0,0,FALSE
Male,Loyal Customer,13,Personal Travel,Eco,677,3,5,3,1,5,3,5,5,1,1,3,5,5,3.46,0,0,FALSE
Female,Loyal Customer,51,Business Travel,Business,2642,4,4,5,4,3,4,4,4,4,5,4,4,5,4.15,70,63,TRUE
Male,Disloyal Customer,20,Business Travel,Eco,533,3,2,3,3,3,3,4,3,1,3,2,2,3,2.69,0,0,FALSE
Female,Loyal Customer,24,Business Travel,Business,2876,1,1,1,1,4,4,4,4,5,1,4,3,4,2.85,0,0,TRUE
Male,Disloyal Customer,39,Business Travel,Eco,456,1,3,1,3,2,1,2,2,4,4,3,3,2,2.38,12,0,FALSE
Male,Loyal Customer,22,Business Travel,Eco,620,5,1,4,4,5,5,4,5,4,3,1,5,5,3.92,8,0,TRUE
Female,Loyal Customer,49,Personal Travel,Eco,2454,1,5,0,5,0,4,4,2,3,2,1,4,4,2.69,0,0,FALSE
Female,Loyal Customer,51,Personal Travel,Eco,451,2,1,2,3,4,3,2,3,3,2,3,2,2,2.46,0,0,FALSE
Male,Loyal Customer,57,Personal Travel,Business,862,2,4,2,3,3,4,4,4,4,2,3,5,4,3.38,0,0,FALSE
Female,Loyal Customer,27,Business Travel,Business,2272,3,3,3,3,5,5,4,5,3,4,4,5,5,4,0,0,TRUE
Female,Loyal Customer,57,Business Travel,Business,3681,3,3,2,3,5,5,4,4,4,4,4,3,5,3.77,7,0,TRUE
Male,Loyal Customer,41,Business Travel,Business,1592,2,2,2,2,4,4,4,2,2,2,2,5,5,2.92,11,3,TRUE
Male,Disloyal Customer,38,Business Travel,Eco,419,4,2,4,4,3,4,4,3,2,1,4,1,3,3,56,56,FALSE
Female,Loyal Customer,42,Business Travel,Business,3184,3,3,3,3,4,5,5,4,4,4,4,5,4,3.92,17,12,TRUE
Male,Loyal Customer,58,Business Travel,Eco,239,5,5,5,5,5,5,5,5,2,3,1,2,5,4.08,15,24,TRUE
Female,Disloyal Customer,49,Business Travel,Eco,1440,2,2,2,2,3,2,3,3,3,4,3,4,3,2.77,57,81,FALSE
Female,Loyal Customer,57,Business Travel,Business,1399,4,4,4,4,2,4,5,5,5,4,5,5,5,4.31,27,49,TRUE
Male,Loyal Customer,36,Business Travel,Business,2041,5,5,4,5,3,5,5,5,5,4,5,3,3,4.38,0,5,TRUE
Male,Loyal Customer,48,Business Travel,Business,341,0,0,0,1,5,4,5,1,1,1,1,3,5,2.08,0,0,TRUE
Female,Loyal Customer,39,Personal Travel,Eco,991,3,4,3,4,4,3,3,4,1,4,3,2,4,3.23,0,3,FALSE
Female,Loyal Customer,65,Personal Travel,Eco,993,2,5,2,4,5,5,4,5,5,2,4,4,5,4,0,55,FALSE
Male,Loyal Customer,67,Business Travel,Eco,265,3,2,2,2,3,3,3,3,1,3,1,1,3,2.31,0,0,FALSE
Male,Loyal Customer,79,Business Travel,Business,432,4,3,3,3,2,4,3,4,4,4,4,4,1,3.31,0,0,FALSE
Female,Loyal Customer,64,Personal Travel,Eco,562,2,5,2,1,4,4,4,1,1,2,1,3,4,2.62,1,3,FALSE
Female,Loyal Customer,37,Personal Travel,Eco,707,1,4,1,2,5,1,5,5,3,4,4,3,5,3.31,32,24,FALSE
Male,Loyal Customer,64,Personal Travel,Business,236,3,3,3,3,1,3,4,4,4,3,2,3,1,2.85,25,16,FALSE
Male,Loyal Customer,57,Business Travel,Business,655,1,1,1,1,5,4,5,4,4,4,4,4,4,3.23,74,80,TRUE
Male,Loyal Customer,25,Personal Travel,Eco,307,2,2,2,2,5,2,5,5,2,5,2,2,5,3.15,0,0,FALSE
Female,Loyal Customer,57,Business Travel,Business,481,4,4,1,4,3,4,4,5,5,5,5,5,4,4.08,0,0,TRUE
Female,Loyal Customer,43,Business Travel,Business,757,2,2,2,2,3,5,4,4,4,4,4,3,4,3.31,0,11,TRUE
Female,Loyal Customer,22,Personal Travel,Eco,337,3,5,3,4,3,3,3,3,5,4,5,5,3,3.77,0,0,FALSE
Male,Loyal Customer,25,Personal Travel,Eco,427,3,5,3,4,3,3,3,3,4,3,4,4,3,3.46,28,13,FALSE
Female,Loyal Customer,25,Personal Travel,Eco Plus,1635,2,4,2,3,5,2,5,5,3,5,5,3,5,3.77,10,8,FALSE
Female,Disloyal Customer,20,Business Travel,Eco,1235,2,1,1,3,4,1,4,4,4,2,4,4,4,2.92,9,2,FALSE
Male,Loyal Customer,44,Business Travel,Business,2496,2,2,2,2,5,5,2,5,5,5,5,3,3,3.54,0,20,TRUE
Female,Loyal Customer,49,Business Travel,Business,2882,4,4,4,4,2,4,5,2,2,2,2,5,4,3.38,0,0,TRUE
Male,Loyal Customer,32,Business Travel,Business,308,1,1,3,1,4,4,4,4,3,3,5,3,4,3.08,5,5,TRUE
Male,Loyal Customer,49,Personal Travel,Eco,342,3,4,3,3,4,3,4,4,3,4,5,5,4,3.77,0,0,FALSE
Male,Loyal Customer,31,Business Travel,Business,2040,1,1,1,1,3,3,3,3,3,2,5,3,3,2.46,1,0,TRUE
Female,Loyal Customer,16,Personal Travel,Eco,1797,2,3,2,3,3,2,3,3,2,2,4,3,3,2.69,2,0,FALSE
Female,Loyal Customer,31,Business Travel,Eco,3711,2,5,5,5,2,2,2,2,4,4,4,2,2,3.15,174,165,FALSE
Female,Loyal Customer,17,Personal Travel,Eco,1728,4,5,4,5,2,4,2,2,3,4,5,4,2,3.54,0,0,FALSE
Female,Loyal Customer,38,Business Travel,Eco,251,3,4,4,4,3,3,3,3,5,3,5,4,3,3.62,0,5,TRUE
Female,Loyal Customer,28,Personal Travel,Eco Plus,391,1,4,1,2,2,1,2,2,5,3,5,5,2,2.69,0,0,FALSE
Male,Loyal Customer,7,Personal Travel,Eco,612,2,4,3,3,4,3,4,4,1,3,4,3,4,3.23,19,7,FALSE
Male,Loyal Customer,60,Business Travel,Business,2565,5,5,5,5,4,4,4,5,5,5,5,3,5,4.62,95,93,TRUE
Female,Loyal Customer,13,Personal Travel,Eco,731,3,3,3,4,4,3,1,4,4,2,4,4,4,3.31,0,0,FALSE
Male,Loyal Customer,55,Business Travel,Business,3293,2,4,2,2,3,4,5,3,3,4,3,3,4,3.23,0,0,TRUE
Male,Loyal Customer,54,Business Travel,Eco,868,3,2,2,2,3,3,3,3,3,4,3,4,3,2.92,1,50,FALSE
Male,Disloyal Customer,15,Business Travel,Business,1733,5,5,5,3,4,5,4,4,3,2,5,3,4,4,1,3,TRUE
Female,Loyal Customer,44,Personal Travel,Eco,373,3,3,1,4,5,3,3,5,5,1,4,3,4,3.38,1,0,FALSE
Male,Loyal Customer,10,Personal Travel,Eco,77,2,4,2,1,5,2,5,5,5,5,4,3,5,3.69,0,0,FALSE
Female,Loyal Customer,28,Personal Travel,Eco,1916,3,5,3,2,4,3,5,4,4,4,3,3,4,3.62,0,0,FALSE
Female,Loyal Customer,41,Personal Travel,Eco,909,2,4,2,2,4,2,4,4,3,4,4,4,4,3.31,1,12,FALSE
Female,Loyal Customer,54,Personal Travel,Eco,590,1,5,1,3,1,4,4,5,5,5,4,4,4,3.54,156,178,FALSE
Male,Loyal Customer,30,Business Travel,Business,1299,2,1,1,1,2,2,2,2,4,4,4,1,2,2.15,14,24,FALSE
Male,Loyal Customer,29,Business Travel,Eco Plus,812,2,5,5,5,2,2,2,2,3,1,2,3,2,2.77,0,22,FALSE
Female,Loyal Customer,32,Business Travel,Eco,306,2,5,5,5,2,2,2,2,2,3,3,2,2,2.85,12,11,FALSE
Female,Loyal Customer,10,Personal Travel,Eco,270,2,1,2,3,1,2,1,1,4,4,3,4,1,2.23,20,12,FALSE
Female,Disloyal Customer,29,Business Travel,Business,334,5,5,5,5,5,5,5,5,5,2,4,5,5,4.69,11,0,TRUE
Female,Loyal Customer,59,Business Travel,Business,2202,1,1,4,1,4,5,4,4,4,4,4,4,3,3.31,4,6,TRUE
Female,Loyal Customer,26,Business Travel,Business,3438,4,1,1,1,4,4,4,3,5,3,4,4,4,3.23,117,197,FALSE
Female,Disloyal Customer,25,Business Travel,Business,546,3,0,3,2,4,3,5,4,5,5,4,5,4,3.62,0,0,FALSE
Male,Loyal Customer,56,Business Travel,Business,1553,2,2,2,2,2,5,5,4,4,5,4,3,4,3.38,0,0,TRUE
Male,Loyal Customer,42,Business Travel,Eco,1670,2,1,1,1,2,2,2,2,4,4,3,4,2,2.31,0,40,FALSE
Female,Loyal Customer,59,Business Travel,Business,2180,2,5,3,5,2,4,4,2,2,2,2,1,2,2.77,15,17,FALSE
Female,Loyal Customer,41,Business Travel,Business,2139,4,4,4,4,3,4,4,4,4,4,4,3,4,3.85,0,0,TRUE
Female,Loyal Customer,56,Business Travel,Business,733,2,5,5,5,3,4,3,2,2,2,2,1,1,2.85,0,62,FALSE
Female,Loyal Customer,31,Business Travel,Business,1652,4,4,4,4,1,2,1,1,5,2,3,4,1,2.77,0,0,TRUE
Male,Loyal Customer,14,Personal Travel,Eco,802,0,5,0,4,1,0,1,1,4,2,5,4,1,2.15,0,0,TRUE
Male,Loyal Customer,39,Personal Travel,Eco,646,4,1,4,4,5,4,5,5,1,1,3,2,5,3.38,0,0,TRUE
Female,Loyal Customer,46,Business Travel,Business,1620,4,4,4,4,2,3,4,5,5,5,5,4,3,4,0,0,TRUE
Male,Loyal Customer,51,Personal Travel,Eco,391,5,4,1,4,4,1,4,4,5,4,2,1,4,3.31,0,0,TRUE
Female,Loyal Customer,37,Personal Travel,Eco,431,0,4,0,5,4,0,4,4,4,3,4,5,4,3.15,9,23,TRUE
Female,Loyal Customer,15,Personal Travel,Eco Plus,297,3,3,3,4,3,3,3,3,3,3,4,3,3,3.15,0,0,FALSE
Male,Disloyal Customer,12,Business Travel,Eco,1371,2,2,2,2,2,2,5,2,2,5,3,4,2,2.69,0,27,FALSE
